"","mem_no","crm_group","time","first_logon","first_dlvry","ord_cnt","cluster","is_churn","risk_ratio","is_logon","is_dlvry"
"8613","DDCC1AEF06EC6C27DB6E5859409BAD1C0ADC4CA37613BF5D0E63EA4A9CC7D8C1","control",2023-11-24,NA,NA,0,"part_all","YES",26.325,0,0
"8614","1B8B23C5B2FB0B21CB77A4E526711725E265A07F1CFCBABCE401A4131D9ACC6A","test",2023-11-24,2023-11-24 11:19:00,NA,0,"part_peak","NO",1.02857142857143,1,0
"8615","6E2E6C00EB7B2269B2DCAB25BD86310C615F2F2FBD04D621F838D4E77938A12D","test",2023-11-24,NA,NA,0,"part_peak","YES",6.28571428571429,0,0
"8616","EE50C67978ED61686D5F4E03FDF1ED20635A6F116A97227944FEBEA40F99D394","test",2023-11-24,NA,NA,0,"part_all","NO",7.77777777777778,0,0
"8617","BCFEFA875D290ADD2CD94BB367F5C984D4D1DC9EF9C67D25A2DD862310550457","test",2023-11-24,NA,NA,0,"part_peak","YES",2.12244897959184,0,0
"8618","536591EE1DAECE467D18D2E30638AE1AEF3FCB14227AE3CCB9E4A7E2BFE22DF9","test",2023-11-24,NA,NA,0,"part_peak","YES",60.5744680851064,0,0
"8619","8AAD96723CA7A4F0355BDBFFF0C0E98BA74E4792EE1FB7423C4E9DE9C6C031F6","test",2023-11-24,2023-11-24 23:46:00,2023-11-24 23:59:00,2,"part_peak","NO",1.21212121212121,1,1
"8620","7791462F0C92D6C1CEE330C2B582891D7EEB2EEAE765F0448215D5F3B6215FFD","control",2023-11-24,NA,NA,0,"part_peak","NO",2.05128205128205,0,0
"8621","7CECA10595D6EECAD81A9275DC4482092B67A003E8D9590316ED9F6E899F5DB2","control",2023-11-24,NA,NA,0,"part_peak","YES",17.75,0,0
"8622","DCDABB915DB9AE5783EF3FF20AC54D0FD8E32C5D581EE78FCE768AE84EC499FA","test",2023-11-24,2023-11-24 19:30:00,2023-11-24 19:35:00,2,"part_peak","YES",10.1276595744681,1,1
"8623","2CA5C97180EE8BA1CDF6349C02605F6346C64D3FB809505C3EDAD4417B11BE3C","test",2023-11-24,NA,NA,0,"part_peak","YES",6.8,0,0
"8624","18474DAA367DC61209F238292B1149959B5DA657A8FA55D2E12C2EFFDD236CB0","test",2023-11-24,NA,NA,0,"part_peak","YES",5.625,0,0
"8625","B55C0A2AEB650C5727C1AF870398ACDB04D25C4B51EE04B8527E73E3C1F916BB","test",2023-11-24,NA,NA,0,"part_peak","YES",15,0,0
