,brms_rider_id,crm_time,rgn2_nm,order_count
184,2E8A784838C9D37ABCAD4E7A4B1B4238A01B89C47338A88B1928214B2D939A5B,2nd_time,동작구,3
185,2E8A784838C9D37ABCAD4E7A4B1B4238A01B89C47338A88B1928214B2D939A5B,2nd_time,서초구,50
186,3522E8A640C7B7C8AC6BB7EDE844ACDDBC49FF9EC3C75E88E7E344483890A56D,1st_time,청주시 서원구,3
187,3522E8A640C7B7C8AC6BB7EDE844ACDDBC49FF9EC3C75E88E7E344483890A56D,1st_time,청주시 흥덕구,18
188,3522E8A640C7B7C8AC6BB7EDE844ACDDBC49FF9EC3C75E88E7E344483890A56D,2nd_time,청주시 서원구,1
189,3522E8A640C7B7C8AC6BB7EDE844ACDDBC49FF9EC3C75E88E7E344483890A56D,2nd_time,청주시 흥덕구,13
190,3594262E96EEE8F2AF2E2449F0DC8B44596D1F2AB9644BB8C85BE2529BB2BF29,1st_time,청주시 상당구,2
191,3594262E96EEE8F2AF2E2449F0DC8B44596D1F2AB9644BB8C85BE2529BB2BF29,1st_time,청주시 서원구,25
192,3594262E96EEE8F2AF2E2449F0DC8B44596D1F2AB9644BB8C85BE2529BB2BF29,1st_time,청주시 흥덕구,47
193,3594262E96EEE8F2AF2E2449F0DC8B44596D1F2AB9644BB8C85BE2529BB2BF29,2nd_time,청주시 상당구,11
194,3594262E96EEE8F2AF2E2449F0DC8B44596D1F2AB9644BB8C85BE2529BB2BF29,2nd_time,청주시 서원구,76
195,3594262E96EEE8F2AF2E2449F0DC8B44596D1F2AB9644BB8C85BE2529BB2BF29,2nd_time,청주시 흥덕구,91
196,36C87BFF260BE590BFA36D234AB34B83E4ED3295D23281427566542F7FB7AC1E,1st_time,청주시 서원구,8
197,36C87BFF260BE590BFA36D234AB34B83E4ED3295D23281427566542F7FB7AC1E,1st_time,청주시 흥덕구,1
198,36C87BFF260BE590BFA36D234AB34B83E4ED3295D23281427566542F7FB7AC1E,2nd_time,청주시 서원구,10
199,38416D2FA0B809BA351E6A8464D1A6738572A5DF3CDE703D1584189732B8902D,1st_time,청주시 상당구,3
200,38416D2FA0B809BA351E6A8464D1A6738572A5DF3CDE703D1584189732B8902D,1st_time,청주시 서원구,2
201,38416D2FA0B809BA351E6A8464D1A6738572A5DF3CDE703D1584189732B8902D,2nd_time,청주시 상당구,5
202,38416D2FA0B809BA351E6A8464D1A6738572A5DF3CDE703D1584189732B8902D,2nd_time,청주시 서원구,18
203,395E25AA566E14A480D3798F84920E9868947CF39BE0DEBD3C3379986F693806,1st_time,청주시 서원구,2
204,395E25AA566E14A480D3798F84920E9868947CF39BE0DEBD3C3379986F693806,1st_time,청주시 흥덕구,14
205,395E25AA566E14A480D3798F84920E9868947CF39BE0DEBD3C3379986F693806,2nd_time,청주시 서원구,4
206,395E25AA566E14A480D3798F84920E9868947CF39BE0DEBD3C3379986F693806,2nd_time,청주시 청원구,2
207,395E25AA566E14A480D3798F84920E9868947CF39BE0DEBD3C3379986F693806,2nd_time,청주시 흥덕구,25
208,39807A679C4B6BE229A301D048B63391D5A6DCEA5000FA0CA248824F370BB7AC,1st_time,관악구,3
209,39807A679C4B6BE229A301D048B63391D5A6DCEA5000FA0CA248824F370BB7AC,1st_time,동작구,3
210,39807A679C4B6BE229A301D048B63391D5A6DCEA5000FA0CA248824F370BB7AC,1st_time,서초구,5
211,3AC3FDD4CC2182E4C4FCAB7D8FDCB2B642CF1E50B7D4CDD506DDB9AF1DEE471C,1st_time,청주시 서원구,11
212,3AC3FDD4CC2182E4C4FCAB7D8FDCB2B642CF1E50B7D4CDD506DDB9AF1DEE471C,1st_time,청주시 흥덕구,44
213,3AC3FDD4CC2182E4C4FCAB7D8FDCB2B642CF1E50B7D4CDD506DDB9AF1DEE471C,2nd_time,청주시 흥덕구,1
214,3CB2BF6938E462720CF8F329FCFAEE5D99CF9920C835D2F73BEB23138C33E22A,1st_time,과천시,60
215,3CB2BF6938E462720CF8F329FCFAEE5D99CF9920C835D2F73BEB23138C33E22A,2nd_time,과천시,63
216,3EEF26023DD1BA7E30C45E6A95DF6B61A984CD333FBB254C592E76B9BB838FC1,1st_time,강남구,11
217,3EEF26023DD1BA7E30C45E6A95DF6B61A984CD333FBB254C592E76B9BB838FC1,1st_time,서초구,14
218,3EEF26023DD1BA7E30C45E6A95DF6B61A984CD333FBB254C592E76B9BB838FC1,2nd_time,강남구,11
219,3EEF26023DD1BA7E30C45E6A95DF6B61A984CD333FBB254C592E76B9BB838FC1,2nd_time,서초구,19
220,3FA97926E2379AD092AA2367C233B828FEF988AE1CEB6E877D5F5730FB272790,1st_time,청주시 서원구,15
221,3FA97926E2379AD092AA2367C233B828FEF988AE1CEB6E877D5F5730FB272790,1st_time,청주시 흥덕구,43
222,3FA97926E2379AD092AA2367C233B828FEF988AE1CEB6E877D5F5730FB272790,2nd_time,청주시 서원구,24
223,3FA97926E2379AD092AA2367C233B828FEF988AE1CEB6E877D5F5730FB272790,2nd_time,청주시 흥덕구,103
224,40337C018E77AA2651FC26E309E9541C11516833935D89DDE4208352F6D22A91,1st_time,서초구,12
225,40337C018E77AA2651FC26E309E9541C11516833935D89DDE4208352F6D22A91,2nd_time,강남구,8
226,40337C018E77AA2651FC26E309E9541C11516833935D89DDE4208352F6D22A91,2nd_time,서초구,37
227,442C8A1562A8F2F510EBF31B09DB9CD6F9B904A54FC52BC2BC886754FA841C71,1st_time,과천시,40
228,442C8A1562A8F2F510EBF31B09DB9CD6F9B904A54FC52BC2BC886754FA841C71,2nd_time,과천시,35
